year,city,country,avg_temp
1743,Chicago,United States,5.44
1744,Chicago,United States,11.73
1745,Chicago,United States,1.80
1746,Chicago,United States,
1747,Chicago,United States,
1748,Chicago,United States,
1749,Chicago,United States,
1750,Chicago,United States,10.49
1751,Chicago,United States,11.19
1752,Chicago,United States,4.50
1753,Chicago,United States,10.04
1754,Chicago,United States,10.64
1755,Chicago,United States,7.41
1756,Chicago,United States,11.15
1757,Chicago,United States,9.50
1758,Chicago,United States,8.61
1759,Chicago,United States,9.59
1760,Chicago,United States,8.05
1761,Chicago,United States,10.40
1762,Chicago,United States,9.82
1763,Chicago,United States,7.72
1764,Chicago,United States,10.63
1765,Chicago,United States,9.78
1766,Chicago,United States,10.49
1767,Chicago,United States,9.41
1768,Chicago,United States,8.95
1769,Chicago,United States,9.79
1770,Chicago,United States,9.66
1771,Chicago,United States,10.44
1772,Chicago,United States,10.27
1773,Chicago,United States,10.42
1774,Chicago,United States,10.27
1775,Chicago,United States,10.99
1776,Chicago,United States,9.98
1777,Chicago,United States,9.67
1778,Chicago,United States,7.63
1779,Chicago,United States,10.32
1780,Chicago,United States,12.54
1781,Chicago,United States,10.18
1782,Chicago,United States,9.69
1783,Chicago,United States,9.44
1784,Chicago,United States,9.40
1785,Chicago,United States,9.20
1786,Chicago,United States,9.75
1787,Chicago,United States,9.78
1788,Chicago,United States,10.28
1789,Chicago,United States,10.03
1790,Chicago,United States,9.93
1791,Chicago,United States,10.12
1792,Chicago,United States,9.62
1793,Chicago,United States,10.20
1794,Chicago,United States,10.30
1795,Chicago,United States,10.01
1796,Chicago,United States,9.92
1797,Chicago,United States,9.66
1798,Chicago,United States,10.43
1799,Chicago,United States,10.11
1800,Chicago,United States,10.11
1801,Chicago,United States,10.47
1802,Chicago,United States,10.66
1803,Chicago,United States,10.48
1804,Chicago,United States,10.41
1805,Chicago,United States,10.63
1806,Chicago,United States,10.10
1807,Chicago,United States,9.88
1808,Chicago,United States,9.84
1809,Chicago,United States,9.04
1810,Chicago,United States,9.22
1811,Chicago,United States,9.37
1812,Chicago,United States,8.34
1813,Chicago,United States,9.67
1814,Chicago,United States,9.55
1815,Chicago,United States,8.86
1816,Chicago,United States,8.27
1817,Chicago,United States,8.54
1818,Chicago,United States,9.42
1819,Chicago,United States,9.19
1820,Chicago,United States,9.02
1821,Chicago,United States,9.08
1822,Chicago,United States,9.87
1823,Chicago,United States,9.31
1824,Chicago,United States,9.57
1825,Chicago,United States,10.87
1826,Chicago,United States,10.19
1827,Chicago,United States,10.58
1828,Chicago,United States,11.00
1829,Chicago,United States,9.94
1830,Chicago,United States,11.11
1831,Chicago,United States,9.02
1832,Chicago,United States,10.33
1833,Chicago,United States,10.70
1834,Chicago,United States,10.92
1835,Chicago,United States,9.44
1836,Chicago,United States,8.68
1837,Chicago,United States,9.42
1838,Chicago,United States,8.81
1839,Chicago,United States,10.57
1840,Chicago,United States,10.24
1841,Chicago,United States,9.83
1842,Chicago,United States,10.32
1843,Chicago,United States,8.78
1844,Chicago,United States,10.28
1845,Chicago,United States,10.60
1846,Chicago,United States,11.29
1847,Chicago,United States,9.23
1848,Chicago,United States,9.77
1849,Chicago,United States,9.34
1850,Chicago,United States,9.89
1851,Chicago,United States,10.17
1852,Chicago,United States,9.82
1853,Chicago,United States,10.21
1854,Chicago,United States,10.96
1855,Chicago,United States,9.71
1856,Chicago,United States,8.66
1857,Chicago,United States,8.76
1858,Chicago,United States,10.53
1859,Chicago,United States,9.76
1860,Chicago,United States,9.75
1861,Chicago,United States,9.62
1862,Chicago,United States,9.36
1863,Chicago,United States,9.73
1864,Chicago,United States,9.35
1865,Chicago,United States,9.92
1866,Chicago,United States,9.05
1867,Chicago,United States,9.43
1868,Chicago,United States,8.88
1869,Chicago,United States,8.73
1870,Chicago,United States,10.55
1871,Chicago,United States,9.91
1872,Chicago,United States,8.72
1873,Chicago,United States,8.84
1874,Chicago,United States,10.18
1875,Chicago,United States,7.80
1876,Chicago,United States,9.69
1877,Chicago,United States,10.68
1878,Chicago,United States,11.31
1879,Chicago,United States,10.11
1880,Chicago,United States,10.46
1881,Chicago,United States,10.25
1882,Chicago,United States,10.38
1883,Chicago,United States,8.42
1884,Chicago,United States,9.35
1885,Chicago,United States,7.96
1886,Chicago,United States,9.40
1887,Chicago,United States,9.64
1888,Chicago,United States,8.74
1889,Chicago,United States,10.02
1890,Chicago,United States,10.21
1891,Chicago,United States,10.29
1892,Chicago,United States,9.21
1893,Chicago,United States,8.91
1894,Chicago,United States,10.79
1895,Chicago,United States,9.32
1896,Chicago,United States,10.39
1897,Chicago,United States,10.05
1898,Chicago,United States,10.24
1899,Chicago,United States,10.12
1900,Chicago,United States,10.63
1901,Chicago,United States,9.87
1902,Chicago,United States,10.04
1903,Chicago,United States,9.57
1904,Chicago,United States,8.56
1905,Chicago,United States,9.42
1906,Chicago,United States,10.56
1907,Chicago,United States,9.32
1908,Chicago,United States,10.68
1909,Chicago,United States,9.89
1910,Chicago,United States,10.20
1911,Chicago,United States,10.87
1912,Chicago,United States,8.95
1913,Chicago,United States,10.83
1914,Chicago,United States,10.20
1915,Chicago,United States,9.98
1916,Chicago,United States,9.84
1917,Chicago,United States,8.06
1918,Chicago,United States,10.06
1919,Chicago,United States,10.64
1920,Chicago,United States,9.83
1921,Chicago,United States,12.28
1922,Chicago,United States,10.92
1923,Chicago,United States,10.12
1924,Chicago,United States,8.77
1925,Chicago,United States,9.93
1926,Chicago,United States,9.12
1927,Chicago,United States,10.54
1928,Chicago,United States,10.21
1929,Chicago,United States,9.28
1930,Chicago,United States,10.79
1931,Chicago,United States,12.39
1932,Chicago,United States,10.61
1933,Chicago,United States,11.09
1934,Chicago,United States,10.87
1935,Chicago,United States,10.01
1936,Chicago,United States,9.86
1937,Chicago,United States,9.99
1938,Chicago,United States,11.40
1939,Chicago,United States,11.35
1940,Chicago,United States,9.67
1941,Chicago,United States,11.41
1942,Chicago,United States,10.41
1943,Chicago,United States,9.72
1944,Chicago,United States,10.82
1945,Chicago,United States,9.96
1946,Chicago,United States,11.40
1947,Chicago,United States,10.22
1948,Chicago,United States,10.41
1949,Chicago,United States,11.18
1950,Chicago,United States,9.43
1951,Chicago,United States,9.42
1952,Chicago,United States,10.91
1953,Chicago,United States,11.67
1954,Chicago,United States,11.11
1955,Chicago,United States,11.01
1956,Chicago,United States,10.72
1957,Chicago,United States,10.42
1958,Chicago,United States,9.90
1959,Chicago,United States,10.43
1960,Chicago,United States,10.11
1961,Chicago,United States,10.58
1962,Chicago,United States,9.99
1963,Chicago,United States,9.89
1964,Chicago,United States,11.06
1965,Chicago,United States,10.34
1966,Chicago,United States,10.05
1967,Chicago,United States,9.84
1968,Chicago,United States,10.66
1969,Chicago,United States,10.03
1970,Chicago,United States,10.34
1971,Chicago,United States,10.58
1972,Chicago,United States,9.39
1973,Chicago,United States,11.55
1974,Chicago,United States,10.35
1975,Chicago,United States,10.82
1976,Chicago,United States,9.79
1977,Chicago,United States,10.46
1978,Chicago,United States,9.46
1979,Chicago,United States,9.37
1980,Chicago,United States,10.05
1981,Chicago,United States,10.54
1982,Chicago,United States,9.99
1983,Chicago,United States,10.94
1984,Chicago,United States,10.66
1985,Chicago,United States,10.11
1986,Chicago,United States,10.82
1987,Chicago,United States,12.04
1988,Chicago,United States,10.86
1989,Chicago,United States,9.80
1990,Chicago,United States,11.50
1991,Chicago,United States,11.58
1992,Chicago,United States,10.24
1993,Chicago,United States,10.18
1994,Chicago,United States,10.56
1995,Chicago,United States,10.57
1996,Chicago,United States,9.56
1997,Chicago,United States,10.14
1998,Chicago,United States,12.81
1999,Chicago,United States,11.72
2000,Chicago,United States,11.09
2001,Chicago,United States,11.70
2002,Chicago,United States,11.53
2003,Chicago,United States,10.48
2004,Chicago,United States,10.94
2005,Chicago,United States,11.58
2006,Chicago,United States,11.87
2007,Chicago,United States,11.45
2008,Chicago,United States,10.24
2009,Chicago,United States,10.30
2010,Chicago,United States,11.82
2011,Chicago,United States,11.21
2012,Chicago,United States,12.82
2013,Chicago,United States,11.59
